video_id,data_set,titles_emotion_cluster,titles_emotion_labels,titles_toxicity_cluster,titles_toxicity_labels,transcripts_emotion_cluster,transcripts_emotion_labels,transcripts_toxicity_cluster,transcripts_toxicity_labels,moviebarcodes_cluster,moviebarcodes_labels,titles_emotion_dominant,titles_toxicity_dominant,transcripts_emotion_dominant,transcripts_toxicity_dominant,tm_clusters,topics_string,content_creator_network_clusters,titles_emotion_dominant_weight
Zknt3wtmvJw,CE2019_Influential,1,titles_emo_2,0,titles_toxic_1,0,transcripts_emo_1,2,transcripts_toxic_3,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,1,topic_1,0,0.363658845
hC0mzWlAHRI,CE2019_Influential,1,titles_emo_2,4,titles_toxic_5,0,transcripts_emo_1,3,transcripts_toxic_4,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_INSULT,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,1,topic_1,2,0.3165631
XxA2Y9XyrpM,CE2019_Influential,3,titles_emo_4,4,titles_toxic_5,1,transcripts_emo_2,2,transcripts_toxic_3,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_INSULT,transcripts_emotion_SADNESS,transcripts_toxicity_IDENTITY-ATTACK,0,topic_0,0,0.592880249
_zgTxn1csA4,CE2019_Influential,1,titles_emo_2,3,titles_toxic_4,2,transcripts_emo_3,5,transcripts_toxic_6,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,0,0.23968026
62rqQbPDad4,CE2019_Influential,6,titles_emo_7,3,titles_toxic_4,6,transcripts_emo_7,5,transcripts_toxic_6,2,mb_cluster_3,titles_emotion_FEAR,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_SURPRISE,transcripts_toxicity_TOXICITY,3,topic_3,1,0.324100584
RwBn261CY5o,CE2019_Influential,4,titles_emo_5,1,titles_toxic_2,0,transcripts_emo_1,3,transcripts_toxic_4,1,mb_cluster_2,titles_emotion_ANTICIPATION,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,3,topic_3,3,0.47418648
juZ7dfu1XYg,CE2019_Influential,6,titles_emo_7,1,titles_toxic_2,2,transcripts_emo_3,3,transcripts_toxic_4,1,mb_cluster_2,titles_emotion_FEAR,titles_toxicity_THREAT,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,1,0.420309365
BZByHISDnM8,CE2019_Suspicious,7,titles_emo_8,3,titles_toxic_4,6,transcripts_emo_7,2,transcripts_toxic_3,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_SURPRISE,transcripts_toxicity_IDENTITY-ATTACK,2,topic_2,3,0.26328215
2BMUX2Vy-LA,CE2019_Suspicious,4,titles_emo_5,5,titles_toxic_6,3,transcripts_emo_4,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_ANTICIPATION,titles_toxicity_TOXICITY,transcripts_emotion_DISGUST,transcripts_toxicity_THREAT,3,topic_3,2,0.651755512
m_1_aMIeMcw,CE2019_Suspicious,7,titles_emo_8,2,titles_toxic_3,4,transcripts_emo_5,0,transcripts_toxic_1,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,0,topic_0,3,0.455717981
N3x76mF8Ffk,CE2019_Suspicious,7,titles_emo_8,6,titles_toxic_7,1,transcripts_emo_2,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_SADNESS,transcripts_toxicity_THREAT,3,topic_3,2,0.231143042
oWMpxvjSB6Y,CE2019_Suspicious,2,titles_emo_3,1,titles_toxic_2,4,transcripts_emo_5,2,transcripts_toxic_3,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,1,topic_1,3,0.821000516
6YKSFt7y2vk,CE2019_Suspicious,6,titles_emo_7,1,titles_toxic_2,1,transcripts_emo_2,0,transcripts_toxic_1,1,mb_cluster_2,titles_emotion_FEAR,titles_toxicity_THREAT,transcripts_emotion_SADNESS,transcripts_toxicity_IDENTITY-ATTACK,0,topic_0,2,0.747579217
XOUp8BHtv3Y,CE2019_Suspicious,1,titles_emo_2,0,titles_toxic_1,3,transcripts_emo_4,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_DISGUST,transcripts_toxicity_THREAT,3,topic_3,2,0.471936703
HSOorzE0EYg,CE2019_Suspicious,5,titles_emo_6,4,titles_toxic_5,3,transcripts_emo_4,2,transcripts_toxic_3,1,mb_cluster_2,titles_emotion_DISGUST,titles_toxicity_INSULT,transcripts_emotion_DISGUST,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.72217834
heoPMBghjvI,CE2019_Suspicious,7,titles_emo_8,2,titles_toxic_3,3,transcripts_emo_4,2,transcripts_toxic_3,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_DISGUST,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.383227557
xw3hzs2JkHM,CE2019_Suspicious,6,titles_emo_7,3,titles_toxic_4,7,transcripts_emo_8,5,transcripts_toxic_6,0,mb_cluster_1,titles_emotion_FEAR,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,0,topic_0,1,0.385833234
9vXRPQB3yK4,CE2019_Suspicious,5,titles_emo_6,3,titles_toxic_4,1,transcripts_emo_2,3,transcripts_toxic_4,3,mb_cluster_4,titles_emotion_DISGUST,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_SADNESS,transcripts_toxicity_TOXICITY,0,topic_0,2,0.59469682
_AW_dnGxSlQ,CE2019_Suspicious,5,titles_emo_6,0,titles_toxic_1,1,transcripts_emo_2,0,transcripts_toxic_1,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_TOXICITY,transcripts_emotion_SADNESS,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.386260301
ZUFasGpIXuk,CE2019_Suspicious,7,titles_emo_8,3,titles_toxic_4,4,transcripts_emo_5,2,transcripts_toxic_3,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,3,0.30967024
LMJ8UJ8wEiY,CE2019_Suspicious,5,titles_emo_6,1,titles_toxic_2,0,transcripts_emo_1,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,3,topic_3,2,0.799652994
